Name:,Address:,County:,Type:,Capacity,Status:,Closed Date:,License Number,License Status,Licensee Name,Zip,URL,,
EVERBROOK ACADEMY,"57156 10 MILE RD                                  SOUTH LYON , MI 48178
                                 Phone: (248) 617-0115",OAKLAND,CHILD CARE CENTER,153,ACTIVE,N/A,DC630406382,REGULAR,"EVERBROOK ACADEMY, LLC",48178,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630406382,,
EVEREST ACADEMY KINDER BUILDING,"5935 CLARKSTON ROAD                                  CLARKSTON , MI 48348
                                 Phone: (248) 241-9001",OAKLAND,CHILD CARE CENTER,145,ACTIVE,N/A,DC630252117,REGULAR,EVEREST ACADEMY,48348,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630252117,,
EVERGREEN ELEMENTARY,"10690 LEARNING LANE                                  ALLENDALE , MI 49401
                                 Phone: (616) 892-3465",OTTAWA,CHILD CARE CENTER,133,ACTIVE,N/A,DC700285765,REGULAR,ALLENDALE PUBLIC SCHOOLS,49401,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC700285765,,
EVERLASTING WORD EARLY CHILDCARE,"22707 HARMON STREET                                  ST. CLAIR SHORES , MI 48080
                                 Phone: (586) 443-5760",MACOMB,CHILD CARE CENTER,60,ACTIVE,N/A,DC500390000,REGULAR,EVERLASTING WORD EARLY CHILDCARE INC.,48080,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC500390000,,
EVERYDAY WONDERS FAMILY EDUCARE,"4460 EASTERN AVE.                                  KENTWOOD , MI 49508
                                 Phone: (616) 827-3439",KENT,CHILD CARE CENTER,60,ACTIVE,N/A,DC410314647,REGULAR,"RRM CHILDHOOD CONSULTANTS, LLC",49508,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410314647,,
EVERYONE'S KIDS HOME DAYCARE,"3418 BROWNELL BLVD.                                  FLINT , MI 48504
                                 Phone: (810) 785-3346",GENESEE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF250400251,REGULAR,"SMITH, MICHELLE",48504,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF250400251,,
EXPLORE AND DISCOVER CHILDCARE,"8021 FOX TAIL CT                                  YPSILANTI , MI 48197
                                 Phone: (734) 787-3971",WASHTENAW,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG810286999,REGULAR,"ROBERTS, DEBRA",48197,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG810286999,,
EXPLORE AND GROW CHRISTIAN CHILD,"1200 60TH STREET, SE                                  KENTWOOD , MI 49508-7057
                                 Phone: (616) 455-0690",KENT,CHILD CARE CENTER,274,ACTIVE,N/A,DC410019981,REGULAR,KENTWOOD COMMUNITY CHURCH,49508-7057,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410019981,,
EXPLORE AND LEARN ACADEMY,"1250 SIGSBEE ST. SE                                  GRAND RAPIDS , MI 49506
                                 Phone: (616) 819-1405",KENT,CHILD CARE CENTER,56,ACTIVE,N/A,DC410402366,1ST PROVISIONAL,THE REFUGEE EDUCATION CENTER,49506,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410402366,,
EXPLORE AND LEARN ACADEMY,"1250 SIGSBEE ST SE                                  GRAND RAPIDS , MI 49506
                                 Phone: (616) 819-1405",KENT,CHILD CARE CENTER,79,CLOSED,11/27/2020,DC410354636,CLOSED,EARLY LEARNING NEIGHBORHOOD COLLABORATIVE,49506,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410354636,,
EXPLORERS LEARNING CENTER BLUE,"936 OAKRIDGE RD                                  MUSKEGON , MI 49441
                                 Phone: (231) 747-7175",MUSKEGON,CHILD CARE CENTER,62,ACTIVE,N/A,DC610390712,REGULAR,EXPLORERS LEARNING CENTER,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610390712,,
EXPLORERS LEARNING CENTER RED,"1004 W. BROADWAY AVE                                  MUSKEGON , MI 49441
                                 Phone: (231) 747-7175",MUSKEGON,CHILD CARE CENTER,24,ACTIVE,N/A,DC610405554,1ST PROVISIONAL,EXPLORERS LEARNING CENTER,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610405554,,
EXPLORERS LEARNING CENTER TAN,"909 W. BROADWAY AVE                                  MUSKEGON , MI 49441
                                 Phone: (237) 747-7175",MUSKEGON,CHILD CARE CENTER,16,ACTIVE,N/A,DC610395731,REGULAR,EXPLORERS LEARNING CENTER,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610395731,,
EXPLORERS LEARNING CENTER WHITE,"947 W. BROADWAY AVE                                  MUSKEGON , MI 49441
                                 Phone: (231) 747-7175",MUSKEGON,CHILD CARE CENTER,60,ACTIVE,N/A,DC610385321,REGULAR,EXPLORERS LEARNING CENTER,49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC610385321,,
EXTENDED DAY ENRICHMENT B/A,"28639 DIVISION STREET                                  FLAT ROCK , MI 48134
                                 Phone: (734) 379-7070",WAYNE,CHILD CARE CENTER,65,ACTIVE,N/A,DC820295973,REGULAR,KCE CHAMPIONS LLC,48134,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820295973,,
EXTRAORDINARY INDIVIDUALS CHILD CARE CENTER,"2898 PACKARD ROAD                                  ANN ARBOR , MI 48108
                                 Phone: (734) 352-1142",WASHTENAW,CHILD CARE CENTER,60,ACTIVE,N/A,DC810407989,REGULAR,EXTRAORDINARY INDIVIDUALS,48108,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC810407989,,
F C C PRESCHOOL,"1314 NORTHWOOD BOULEVARD                                  ROYAL OAK , MI 48073
                                 Phone: (248) 763-9635",OAKLAND,CHILD CARE CENTER,17,CLOSED,9/29/2021,DC630016746,CLOSED,FIRST CONGREGATIONAL CHURCH,48073,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630016746,,
F U M C PRESCHOOL,"400 S. MAIN                                  MOUNT PLEASANT , MI 48858
                                 Phone: (989) 772-1580",ISABELLA,CHILD CARE CENTER,25,ACTIVE,N/A,DC370021227,REGULAR,F U M C PRESCHOOL,48858,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC370021227,,
F.A.S.T.,"8060 ELY HIGHWAY                                  MIDDLETON , MI 48856
                                 Phone: (989) 236-7300",GRATIOT,CHILD CARE CENTER,31,CLOSED,9/30/2020,DC290018826,CLOSED,FULTON SCHOOLS,48856,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC290018826,,
"FABER, KARLA","501 N. HARRIS STREET                                  MOUNT PLEASANT , MI 48858
                                 Phone: (989) 854-9965",ISABELLA,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG370267639,REGULAR,"FABER, KARLA",48858,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG370267639,,
FAIRLY GODMOTHER,"1315 HAYES ST                                  SAGINAW , MI 48602
                                 Phone: (708) 310-5162",SAGINAW,CHILD CARE GROUP HOME (CAPACITY 7-12),9,CLOSED,1/26/2022,DG730407496,CLOSED,"JONES, MARTINA",48602,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG730407496,,
FAIRVIEW EAGLE'S NEST PRESCHOOL,"1879 E. MILLER RD.                                  FAIRVIEW , MI 48621
                                 Phone: (989) 848-7013",OSCODA,CHILD CARE CENTER,20,ACTIVE,N/A,DC680297750,REGULAR,"FAIRVIEW EAGLE'S NEST PRESCHOOL, INC.",48621,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC680297750,,
FAIRYTALE'S DAYCARE,"5305 GLENWOOD                                  LANSING , MI 48911
                                 Phone: (517) 862-7787",INGHAM,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG330388471,REGULAR,MATTIE M. HARRIS,48911,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG330388471,,
FAITH BAPTIST PRESCHOOL,"7306 E ATHERTON ROAD                                  DAVISON , MI 48423
                                 Phone: (810) 653-9661",GENESEE,CHILD CARE CENTER,20,ACTIVE,N/A,DC250276355,REGULAR,FAITH BAPTIST CHURCH,48423,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC250276355,,
FAITH COMMUNITY CHRISTIAN SCHOOL,"9614 W. FISK ROAD                                  BELDING , MI 48809
                                 Phone: (616) 794-3451",IONIA,CHILD CARE CENTER,97,ACTIVE,N/A,DC340364792,REGULAR,FAITH COMMUNITY ASSOCIATION,48809,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC340364792,,
FAITH ENGEL,"14615 WOODRIDGE COURT                                  GRAND HAVEN , MI 49417
                                 Phone: (616) 842-8643",OTTAWA,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF700051090,REGULAR,FAITH ENGEL,49417,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF700051090,,
FAITH EVAN LUTHERAN PRESCHOOL,"FAITH LUTHERAN SCHOOL  3033 WILDER ROAD                                                                BAY CITY , MI 48706
                                 Phone: (989) 684-3448",BAY,CHILD CARE CENTER,80,ACTIVE,N/A,DC090017274,REGULAR,FAITH LUTHERAN SCHOOL,48706,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC090017274,,
FAITH LUTHERAN COOP AND PRESCHOOL,"37635 DEQUINDRE                                  TROY , MI 48083
                                 Phone: (248) 689-4664",OAKLAND,CHILD CARE CENTER,58,ACTIVE,N/A,DC630016748,REGULAR,FAITH LUTHERAN CHURCH,48083,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630016748,,
FAITH LUTHERAN PRESCHOOL,"4241 WILLIAMSON ROAD                                  BRIDGEPORT , MI 48722
                                 Phone: (989) 777-2600",SAGINAW,CHILD CARE CENTER,76,ACTIVE,N/A,DC730017826,REGULAR,FAITH LUTHERAN CHURCH,48722,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC730017826,,
FAITH LUTHERAN PRESCHOOL,"12534 HOLLY ROAD                                  GRAND BLANC , MI 48439
                                 Phone: (810) 694-9351",GENESEE,CHILD CARE CENTER,64,ACTIVE,N/A,DC250072776,REGULAR,FAITH LUTHERAN CHURCH,48439,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC250072776,,
FAITH MONTESSORI,"16700 NEWBURGH ROAD                                  LIVONIA , MI 48154
                                 Phone: (248) 379-7260",WAYNE,CHILD CARE CENTER,20,CLOSED,4/28/2022,DC820410832,CLOSED,FAITH MONTESSORI LLC,48154,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820410832,,
FAITH'S CHILD CARE,"5389 KIMBERLY DR                                  GRAND BLANC , MI 48439
                                 Phone: (810) 433-1192",GENESEE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,7/26/2021,DF250396307,CLOSED,NEWBY ALICIA,48439,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF250396307,,
FAITH'S HOUSE,"1969 CASTLETON                                  TROY , MI 48083
                                 Phone: (248) 561-0105",OAKLAND,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF630397889,REGULAR,"KIMBROUGH, FAITH",48083,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF630397889,,
FAITHFUL LITTLE BUTTERFLIES,"270 WEST STREET                                  CEDAR SPRINGS , MI 49319
                                 Phone: (616) 918-6395",KENT,CHILD CARE CENTER,75,CLOSED,1/23/2021,DC410379976,CLOSED,FAITHFUL LITTLE BUTTERFLIES INC.,49319,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC410379976,,
FAMILY DAYCARE OF JENISON,"2644 SUN VALLEY ST                                  JENISON , MI 49428
                                 Phone: (616) 307-2260",OTTAWA,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG700386730,REGULAR,"MODROK, PRESTON",49428,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG700386730,,
ENGADINE PRESCHOOL,"W13920 MELVILLE STREET                                  ENGADINE , MI 49827
                                 Phone: (906) 477-6313",MACKINAC,CHILD CARE CENTER,20,ACTIVE,N/A,DC490020860,REGULAR,CONSOLIDATED COMMUNITY SCHOOL SERVICES,49827,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC490020860,,
FAMILY FIRST LEARNING CENTER II,"3855 SHELDON RD                                  CANTON , MI 48188
                                 Phone: (734) 398-1432",WAYNE,CHILD CARE CENTER,101,CLOSED,9/22/2020,DC820338428,CLOSED,"FAMILY FIRST LEARNING CENTER, LLC",48188,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820338428,,
FAMILY FRIENDS,"2740 ROGUE RIVER                                  BELMONT , MI 49306
                                 Phone: (616) 364-5063",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410381864,REGULAR,KLOOSTER DEBORAH,49306,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410381864,,
FAMILY GROWTH CENTER - MT. HOPE,"BETHLEHEM LUTHERAN C  549 EAST MOUNT HOPE                                                                LANSING , MI 48910
                                 Phone: (517) 371-1347",INGHAM,CHILD CARE CENTER,18,ACTIVE,N/A,DC330018499,REGULAR,CHILD ABUSE PREVENTION SVS. (DIV. CHILD & FAMILY),48910,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC330018499,,
FAMILY HOME,"25034 REDFIELD ST                                  EDWARDSBURG , MI 49112
                                 Phone: (574) 304-4514",CASS,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,1/15/2020,DF140397839,CLOSED,"WESTFALL, ASHLEY",49112,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF140397839,,
FAMILY HOME,"APT 130  19606 JEROME STREET                                                                ROSEVILLE , MI 48066
                                 Phone: (586) 746-8714",MACOMB,CHILD CARE FAMILY HOME (CAPACITY 1-6),3,CLOSED,6/8/2022,DF500410535,CLOSED,"AGNEW, BRITTANY",48066,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF500410535,,
FAMILY HOME DAYCARE,"9532 ANCHOR DR.                                  CLAY , MI 48001
                                 Phone: (810) 689-8776",ST. CLAIR,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF740403527,REGULAR,"DAVIS, SUSAN",48001,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF740403527,,
FAMILY OF FOURS AND GIBBING,"11303 GREENDALE                                  STERLING HEIGHTS , MI 48312
                                 Phone: (586) 797-1065",MACOMB,CHILD CARE CENTER,48,ACTIVE,N/A,DC500071475,REGULAR,UTICA COMMUNITY SCHOOLS,48312,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC500071475,,
FAMILY TIME CHILDCARE & HOME HEALTHCARE,"2400 HAMPDEN DRIVE                                  LANSING , MI 48911
                                 Phone: (517) 243-0793",INGHAM,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF330391038,REGULAR,"COLEMAN, BEVERLY",48911,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF330391038,,
FAMILY TY'S,"18104 FENELON STREET                                  DETROIT , MI 48234
                                 Phone: (313) 758-8939",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),5,CLOSED,5/28/2021,DF820406254,CLOSED,"MARSHALL, TYISHA",48234,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820406254,,
FAMILY WAY DAY CARE,"210 N IRVING ST                                  GREENVILLE , MI 48838
                                 Phone: (231) 245-5112",MONTCALM,CHILD CARE FAMILY HOME (CAPACITY 1-6),5,CLOSED,10/30/2019,DF590397005,CLOSED,"ANDERSON, JACI",48838,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF590397005,,
FAMILY WORSHIP CENTER CHURCH,"3280 N. LINDEN RD.                                  FLINT , MI 48504
                                 Phone: (810) 732-4837",GENESEE,CHILD CARE CENTER,84,ACTIVE,N/A,DC250401195,REGULAR,GENESEE INTERMEDIATE SCHOOL DISTRICT,48504,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC250401195,,
FANCHER FAMILY CHILD CARE,"520 S. FANCHER ST.                                  MT. PLEASANT , MI 48858
                                 Phone: (989) 630-3452",ISABELLA,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,6/28/2021,DG370401360,CLOSED,MCCONNELL TORI,48858,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG370401360,,
FANCHER PEAK,"801 N. KINNEY                                  MT. PLEASANT , MI 48858
                                 Phone: (989) 779-5331",ISABELLA,CHILD CARE CENTER,101,ACTIVE,N/A,DC370283732,REGULAR,CITY OF MT PLEASANT,48858,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC370283732,,
FARAH PIEHL,"1552 CLEARVIEW LANE                                  GAYLORD , MI 49735
                                 Phone: (989) 350-7432",OTSEGO,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG690280708,REGULAR,"PIEHL, FARAH",49735,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG690280708,,
FARBER HEBREW DAY SCHOOL,"21100 W. 12 MILE ROAD                                  SOUTHFIELD , MI 48076
                                 Phone: (248) 386-1625",OAKLAND,CHILD CARE CENTER,180,ACTIVE,N/A,DC630017856,REGULAR,FARBER HEBREW DAY SCHOOL,48076,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630017856,,
FARLEY HILL LATCHKEY,"8110 FARLEY ROAD                                  PINCKNEY , MI 48169
                                 Phone: (810) 225-6440",LIVINGSTON,CHILD CARE CENTER,110,ACTIVE,N/A,DC470022299,REGULAR,PINCKNEY COMMUNITY SCHOOLS,48169,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC470022299,,
"FARLOW, KATELYN","303 MONTEBELLO ST. SE                                  KENTWOOD , MI 49548
                                 Phone: (616) 438-1716",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410379626,REGULAR,"FARLOW, KATELYN",49548,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410379626,,
FARM DAYS CHILDCARE,"6194 BARNES RD                                  MILLINGTON , MI 48746
                                 Phone: (810) 252-1368",TUSCOLA,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG790399739,REGULAR,"DICKSON, DANIELLE AND DICKSON, BRIAN",48746,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG790399739,,
FARM EXPLORERS,"18205 BAILEY RD.                                  BAILEY , MI 49303
                                 Phone: (616) 893-5007",MUSKEGON,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,11/9/2020,DF610403255,CLOSED,"JORGENSEN, AMANDA",49303,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF610403255,,
FARMBROOK DAYCARE,"25451 FARMBROOK                                  SOUTHFIELD , MI 48034
                                 Phone: (248) 794-9369",OAKLAND,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,1/27/2022,DF630402351,CLOSED,"WILKINSON, MICHELE",48034,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF630402351,,
FARMINGTON COMMUNITY SCHOOL,"30415 SHIAWASSEE                                  FARMINGTON , MI 48336
                                 Phone: (248) 489-3373",OAKLAND,CHILD CARE CENTER,189,CLOSED,7/1/2020,DC630020162,CLOSED,FARMINGTON PUBLIC SCHOOL,48336,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630020162,,
FARMINGTON EARLY CHILDHOOD CENTER,"32400 ALAMEDA                                  FARMINGTON , MI 48336
                                 Phone: (248) 489-3808",OAKLAND,CHILD CARE CENTER,306,ACTIVE,N/A,DC630018018,REGULAR,FARMINGTON PUBLIC SCHOOL,48336,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630018018,,
FARMINGTON HILLS NURSERY SCHOOL,"25225 MIDDLEBELT ROAD                                  FARMINGTON HILLS , MI 48336
                                 Phone: (248) 476-3110",OAKLAND,CHILD CARE CENTER,87,ACTIVE,N/A,DC630017425,REGULAR,HOLY CROSS GREEK ORTHODOX CHURCH,48336,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630017425,,
FARMINGTON PRESBYTERIAN PRESCHOOL,"26165 FARMINGTON ROAD                                  FARMINGTON HILLS , MI 48334
                                 Phone: (248) 474-9752",OAKLAND,CHILD CARE CENTER,49,ACTIVE,N/A,DC630016698,REGULAR,FARM FIRST PRESBY CHURCH,48334,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630016698,,
FARMLAND FRIENDS DAYCARE,"9867 2ND STREET                                  MATTAWAN , MI 49071
                                 Phone: (269) 668-5571",KALAMAZOO,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,1/5/2022,DG390061308,CLOSED,DISTERHEFT DANELL L,49071,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG390061308,,
FARMTIME PRESCHOOL,"1796 ALDEN NASH NE                                  LOWELL , MI 49331
                                 Phone: (616) 340-7194",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410381516,REGULAR,"DELNICK, RHONDA",49331,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410381516,,
FARRAH SADIQ,"2858 TORREY AVENUE                                  ANN ARBOR , MI 48108
                                 Phone: (734) 340-2166",WASHTENAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,1/24/2022,DF810246332,CLOSED,FARRAH SADIQ,48108,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF810246332,,
FARRAH'S FRIENDS,"B  803 4TH AVE                                                                LAKE ODESSA , MI 48849
                                 Phone: (616) 307-3091",IONIA,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,2/23/2022,DF340411103,CLOSED,FARRAH BISHOP,48849,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF340411103,,
FARRAH'S FRIENDS,"9604 BROWN ROAD                                  LAKE ODESSA , MI 48849
                                 Phone: (616) 307-3091",BARRY,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF080411809,ORIGINAL,FARRAH BISHOP,48849,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF080411809,,
FARRAND ELEMENTARY SCHOOL,"41400 GREENBRIAR LANE                                  PLYMOUTH , MI 48170
                                 Phone: (734) 416-6194",WAYNE,CHILD CARE CENTER,50,ACTIVE,N/A,DC820021063,REGULAR,PLYMOUTH-CANTON COMMUNITY SCHOOLS,48170,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820021063,,
FARRELL-EMMETT CHILDREN'S CENTER,"3300 KINNEY                                  EMMETT , MI 48022
                                 Phone: (810) 384-8910",ST. CLAIR,CHILD CARE CENTER,53,ACTIVE,N/A,DC740092903,REGULAR,YALE PUBLIC SCHOOLS,48022,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC740092903,,
FARWELL CAPS,"2050 W. CADILLAC                                  FARWELL , MI 48622
                                 Phone: (989) 424-5320",CLARE,CHILD CARE CENTER,20,CLOSED,10/8/2021,DC180345634,CLOSED,MID MICHIGAN COMMUNITY ACTION AGENCY,48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180345634,,
FARWELL ELEMENTARY,"268 E. OHIO ST.                                  FARWELL , MI 48622
                                 Phone: (989) 588-9916",CLARE,CHILD CARE CENTER,150,ACTIVE,N/A,DC180275796,REGULAR,CLARE-GLADWIN RESD,48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180275796,,
FARWELL ELEMENTARY,"268 E. OHIO ST.                                  FARWELL , MI 48622
                                 Phone: (989) 588-9916",CLARE,CHILD CARE CENTER,44,CLOSED,11/22/2021,DC180309895,CLOSED,FARWELL ELEMENTARY,48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180309895,,
FARWELL ELEMENTARY,"268 E. OHIO ST.                                  FARWELL , MI 48622
                                 Phone: (989) 588-9916",CLARE,CHILD CARE CENTER,36,ACTIVE,N/A,DC180408656,REGULAR,FARWELL ELEMENTARY,48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180408656,,
FARWELL MIDDLE SCHOOL,"500 E OHIO STREET                                  FARWELL , MI 48622
                                 Phone: (989) 386-8673",CLARE,CHILD CARE CENTER,60,ACTIVE,N/A,DC180275799,REGULAR,CLARE-GLADWIN RESD,48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180275799,,
FARWELL PRESCHOOL MMCAA,"268 E. OHIO STREET                                  FARWELL , MI 48622
                                 Phone: (989) 386-0875",CLARE,CHILD CARE CENTER,60,ACTIVE,N/A,DC180408801,REGULAR,MID MICHIGAN COMMUNITY ACTION AGENCY,48622,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC180408801,,
FATHER MARQUETTE ELEMENTARY,"500 S. FOURTH STREET                                  MARQUETTE , MI 49855-4706
                                 Phone: (906) 225-1129",MARQUETTE,CHILD CARE CENTER,60,ACTIVE,N/A,DC520020617,REGULAR,FATHER MARQUETTE SCHOOL BOARD,49855-4706,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC520020617,,
FATHIA SHAWKHA,"48326 CHESTERFIELD DR.                                  CANTON , MI 48187
                                 Phone: (734) 673-8446",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,8/19/2020,DF820395926,CLOSED,"SHAWKHA, FATHIA",48187,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820395926,,
FATOUMATA BAH,"7520 BINGHAM STREET                                  DEARBORN , MI 48126
                                 Phone: (313) 279-1352",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF820313054,REGULAR,"BAH, FATOUMATA",48126,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820313054,,
FAWN'S HOME DAYCARE,"2613 18TH ROAD                                  ESCANABA , MI 49829
                                 Phone: (906) 399-1885",DELTA,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,12/19/2019,DF210392105,CLOSED,"CLEMENT-LAROCHE, FAWN",49829,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF210392105,,
FAWN'S HOME DAYCARE,"2613 18TH ROAD                                  ESCANABA , MI 49829
                                 Phone: (906) 399-1885",DELTA,CHILD CARE GROUP HOME (CAPACITY 7-12),12,ACTIVE,N/A,DG210399159,REGULAR,"CLEMENT-LAROCHE, FAWN",49829,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG210399159,,
FAWZEYA ABUKAFF,"1389 NORTH PROSPECT                                  YPSILANTI , MI 48198
                                 Phone: (734) 484-2886",WASHTENAW,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF810317811,REGULAR,"ABUKAFF, FAWZEYA",48198,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF810317811,,
